0	0	0
1	0	0
2	1	0
3	1	1
4	2	1
5	2	2
7	3	2
8	4	2
9	4	3
10	5	3
11	5	4
12	6	4
14	7	4
15	7	5
16	8	5
17	8	6
18	9	6
20	10	7
21	10	7
22	11	7
23	11	8
24	12	8
25	12	9
27	13	9
28	14	9
29	14	10
30	15	10
31	15	11
32	16	11
34	17	11
35	17	12
36	18	12
37	18	13
38	19	13
40	20	14
41	20	14
42	21	14
43	21	15
44	22	15
45	22	16
47	23	16
48	24	16
49	24	17
50	25	17
51	25	18
52	26	18
54	27	18
55	27	19
56	28	19
57	28	20
58	29	20
60	30	21
61	30	21
62	31	21
63	31	22
64	32	22
65	32	23
67	33	23
68	34	23
69	34	24
70	35	24
71	35	25
72	36	25
74	37	25
75	37	26
76	38	26
77	38	27
78	39	27
80	40	28
81	40	28
82	41	28
83	41	29
84	42	29
85	42	30
87	43	30
88	44	30
89	44	31
90	45	31
91	45	32
92	46	32
94	47	32
95	47	33
96	48	33
97	48	34
98	49	34
100	50	35
100	50	35
101	50	35
102	51	35
103	52	36
104	53	36
105	54	36
106	54	37
107	55	37
108	56	37
109	57	38
110	58	38
111	59	38
112	59	39
113	60	39
114	61	39
115	62	40
116	63	40
118	64	41
119	64	41
120	65	41
121	66	42
122	67	42
123	68	42
124	68	43
125	69	43
126	70	43
127	71	44
128	72	44
129	73	44
130	73	45
131	74	45
132	75	45
133	76	46
134	77	46
136	78	47
137	78	47
138	79	47
139	80	48
140	81	48
141	82	48
142	82	49
143	83	49
144	84	49
145	85	50
146	86	50
147	87	50
148	87	51
149	88	51
150	89	51
151	90	52
152	91	52
154	92	53
155	92	53
156	93	53
157	94	54
158	95	54
159	96	54
160	96	55
161	97	55
162	98	55
163	99	56
164	100	56
165	101	56
166	101	57
167	102	57
168	103	57
169	104	58
170	105	58
172	106	59
173	106	59
174	107	59
175	108	60
176	109	60
177	110	60
178	110	61
179	111	61
180	112	61
181	113	62
182	114	62
183	115	62
184	115	63
185	116	63
186	117	63
187	118	64
188	119	64
190	120	65
190	120	65
190	121	66
191	122	67
192	123	69
193	124	70
193	125	71
194	127	73
195	128	74
196	129	75
196	130	77
197	131	78
198	132	79
199	134	81
199	135	82
200	136	83
201	137	85
202	138	86
203	140	88
203	141	89
204	142	90
205	143	92
206	144	93
206	145	94
207	147	96
208	148	97
209	149	98
209	150	100
210	151	101
211	152	102
212	154	104
212	155	105
213	156	106
214	157	108
215	158	109
216	160	111
216	161	112
217	162	113
218	163	115
219	164	116
219	165	117
220	167	119
221	168	120
222	169	121
222	170	123
223	171	124
224	172	125
225	174	127
225	175	128
226	176	129
227	177	131
228	178	132
229	180	134
229	181	135
230	182	136
231	183	138
232	184	139
232	185	140
233	187	142
234	188	143
235	189	144
235	190	146
236	191	147
237	192	148
238	194	150
238	195	151
239	196	152
240	197	154
241	198	155
242	200	157
242	201	158
243	202	159
244	203	161
245	204	162
245	205	163
246	207	165
247	208	166
248	209	167
248	210	169
249	211	170
250	212	171
251	214	173
251	215	174
252	216	175
253	217	177
